rank,signer,total_profit,avg_profit,attack_count,pool_count
1,YubQzu18FDqJRyNfG8JqHmsdbxhnoQqcKUHBdUkN6tP,16.730999999999998,2.7884999999999995,6,6
2,YubVwWeg1vHFr17Q7HQQETcke7sFvMabqU8wbv8NXQW,5.337,0.8895,6,6
3,AEB9dXBoxkrapNd59Kg29JefMMf3M1WLcNA12XjKSf4R,4.095,0.819,5,5
4,E2MPTDnFPNiCRmbJGKYSYew48NWRGVNfHjoiibFP5VL2,3.978,0.663,6,6
5,CatyeC3LgBxub7HcpW2n7cZZZ66CUKdcZ8DzHucHrSiP,3.4380000000000006,0.5730000000000001,6,6
6,YubozzSnKomEnH3pkmYsdatUUwUTcm7s4mHJVmefEWj,3.0690000000000004,0.5115000000000001,6,6
7,4swoALYuvetDK6N3ak1Knc1bMLbm7nzkxCW1nqjPWGRV,3.024,0.504,6,6
8,enzog436vHy38bMhNR9XDENrvhxPK7y8wBQri852rhG,3.024,0.6048,5,5
9,k3bS5WfZ5P2NTgkVSwdbVrveYc25iXiEHYfZfVruBGq,2.844,0.474,6,6
10,9TXFVx8N9dPneS3ETRt8KWtUXLRUsz6j6JM3bEXqkR3Z,2.781,0.5562,5,5
11,han5oo9sy98473nuWU7PwkdgpJVFvQEQ14S5CCdbeYQ,2.6550000000000002,0.531,5,5
12,AE861PyrYJXm2TuxiMc8Ecwo4YYgAHfcYum3GWpSRFe3,2.466,0.41100000000000003,6,6
13,foxMFk9faHggM4HWQWETCPSDvMbWx8LSv4c9CrkmBx6,2.448,0.408,6,6
14,C2bK8HFrL71aLnpyExVoJmqjDPA9tbLMXcBNAkRQnLfQ,2.3400000000000003,0.39000000000000007,6,6
15,FbgR9632h4rvPciZzCHRGNrEaQM9bC2cGgAikJ8HUfS1,2.187,0.3645,6,6
16,2dRR9CaNrEsHm3UqZacEf8AoDuDx4NGQyMhGxG71NzkN,2.178,0.4356,5,5
17,J8hVkBNKobntWqLspa3yhXEkvb8vZ9S9NiHgirN9yvV3,2.142,0.357,6,6
18,ATQs6A92eUzdxTBsQhRJxxJDpgYDTGvLnU4e5mMEfY3k,2.133,0.3047142857142857,7,7
19,EJdrWPg32qHnmc3cwgGRfTrvWpQkDH2vHNGsane6WFGd,2.088,0.34800000000000003,6,6
20,J1CMrMaFHJmG97R7xJYrJxRA3MNt7VyHe8CAEUnsQzre,2.007,0.3345,6,6
