attacker_signer,total_profit,avg_profit,num_attacks,avg_roi,fat_sandwiches,sandwiches
YubQzu18FDqJRyNfG8JqHmsdbxhnoQqcKUHBdUkN6tP,15.795,7.8975,2,900.0,3344,167
YubVwWeg1vHFr17Q7HQQETcke7sFvMabqU8wbv8NXQW,4.86,4.86,1,900.0,1019,63
AEB9dXBoxkrapNd59Kg29JefMMf3M1WLcNA12XjKSf4R,3.888,3.888,1,900.0,864,0
YubozzSnKomEnH3pkmYsdatUUwUTcm7s4mHJVmefEWj,2.916,2.916,1,900.0,632,17
CatyeC3LgBxub7HcpW2n7cZZZ66CUKdcZ8DzHucHrSiP,2.691,2.691,1,900.0,592,6
enzog436vHy38bMhNR9XDENrvhxPK7y8wBQri852rhG,2.61,2.61,1,900.0,578,2
9TXFVx8N9dPneS3ETRt8KWtUXLRUsz6j6JM3bEXqkR3Z,2.439,2.439,1,900.0,541,3
han5oo9sy98473nuWU7PwkdgpJVFvQEQ14S5CCdbeYQ,2.304,2.304,1,900.0,511,3
4swoALYuvetDK6N3ak1Knc1bMLbm7nzkxCW1nqjPWGRV,2.178,2.178,1,900.0,477,8
foxMFk9faHggM4HWQWETCPSDvMbWx8LSv4c9CrkmBx6,1.908,1.908,1,900.0,424,1
E2MPTDnFPNiCRmbJGKYSYew48NWRGVNfHjoiibFP5VL2,1.818,1.818,1,900.0,395,11
2dRR9CaNrEsHm3UqZacEf8AoDuDx4NGQyMhGxG71NzkN,1.8,1.8,1,900.0,399,2
ATQs6A92eUzdxTBsQhRJxxJDpgYDTGvLnU4e5mMEfY3k,1.773,1.773,1,900.0,395,1
88S3zQ4RhahQJSMrusV3sxhZXJewo4oQ3ErNTXaN9VgR,1.665,1.665,1,900.0,370,0
k3bS5WfZ5P2NTgkVSwdbVrveYc25iXiEHYfZfVruBGq,1.602,1.602,1,900.0,348,9
2npqrs8E9iWPGjRhWp7BsD9nG62xnBm9Av4rWgqF3ZPK,1.566,1.566,1,900.0,348,0
C2bK8HFrL71aLnpyExVoJmqjDPA9tbLMXcBNAkRQnLfQ,1.359,1.359,1,900.0,302,0
theo9SfM3dKgKFbq4kFVmEXwSQ1pdr61wDqEWXKJpYs,1.206,1.206,1,900.0,269,1
EJdrWPg32qHnmc3cwgGRfTrvWpQkDH2vHNGsane6WFGd,1.143,1.143,1,900.0,245,10
