amm_trade,attacker_signer,validator,profit_sol,cost_sol,net_profit_sol,roi,profit_margin,confidence
HumidiFi,YubQzu18FDqJRyNfG8JqHmsdbxhnoQqcKUHBdUkN6tP,22rU5yUmdVThrkoPieVNphqEyAtMQKmZxjwcD8v4bJDU,15.24,1.524,13.716,900.0,89.99999999999999,high
HumidiFi,YubVwWeg1vHFr17Q7HQQETcke7sFvMabqU8wbv8NXQW,DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,5.4,0.54,4.86,900.0,90.0,high
HumidiFi,AEB9dXBoxkrapNd59Kg29JefMMf3M1WLcNA12XjKSf4R,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,4.32,0.432,3.888,900.0,89.99999999999999,high
HumidiFi,YubozzSnKomEnH3pkmYsdatUUwUTcm7s4mHJVmefEWj,5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm,3.24,0.324,2.9160000000000004,900.0,90.0,high
HumidiFi,CatyeC3LgBxub7HcpW2n7cZZZ66CUKdcZ8DzHucHrSiP,HnfPZDrbJFooiP9vvgWrjx3baXVNAZCgisT58gyMCgML,2.99,0.299,2.6910000000000003,900.0000000000002,90.0,high
HumidiFi,enzog436vHy38bMhNR9XDENrvhxPK7y8wBQri852rhG,FNKgX9dYUhYQFRTM9bkeKoRpsyEtZGNMxbdQLDzfqB8a,2.9,0.29,2.61,900.0,90.0,high
HumidiFi,9TXFVx8N9dPneS3ETRt8KWtUXLRUsz6j6JM3bEXqkR3Z,ChorusmmK7i1AxXeiTtQgQZhQNiXYU84ULeaYF1EH15n,2.71,0.271,2.439,900.0,90.0,high
HumidiFi,han5oo9sy98473nuWU7PwkdgpJVFvQEQ14S5CCdbeYQ,HnfPZDrbJFooiP9vvgWrjx3baXVNAZCgisT58gyMCgML,2.56,0.256,2.3040000000000003,900.0,90.00000000000001,high
HumidiFi,4swoALYuvetDK6N3ak1Knc1bMLbm7nzkxCW1nqjPWGRV,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,2.42,0.242,2.178,900.0,90.0,high
BisonFi,YubQzu18FDqJRyNfG8JqHmsdbxhnoQqcKUHBdUkN6tP,CiR8HNCfkjtcongPmP2DRdZPnFgjSbN5gsXdjmsXXHcB,2.31,0.231,2.079,900.0,90.0,high
HumidiFi,foxMFk9faHggM4HWQWETCPSDvMbWx8LSv4c9CrkmBx6,6TkKqq15wXjqEjNg9zqTKADwuVATR9dW3rkNnsYme1ea,2.12,0.212,1.908,900.0,89.99999999999999,high
SolFiV2,E2MPTDnFPNiCRmbJGKYSYew48NWRGVNfHjoiibFP5VL2,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,2.02,0.202,1.818,900.0,90.0,high
HumidiFi,2dRR9CaNrEsHm3UqZacEf8AoDuDx4NGQyMhGxG71NzkN,A1vqhA2fS6K7CvHsJKX1ACcHJFEmyRg4KuR5pctHANy4,2.0,0.2,1.8,900.0,90.0,high
HumidiFi,ATQs6A92eUzdxTBsQhRJxxJDpgYDTGvLnU4e5mMEfY3k,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,1.97,0.197,1.773,900.0,89.99999999999999,high
HumidiFi,88S3zQ4RhahQJSMrusV3sxhZXJewo4oQ3ErNTXaN9VgR,CiR8HNCfkjtcongPmP2DRdZPnFgjSbN5gsXdjmsXXHcB,1.85,0.185,1.665,900.0,90.0,high
TesseraV,k3bS5WfZ5P2NTgkVSwdbVrveYc25iXiEHYfZfVruBGq,22rU5yUmdVThrkoPieVNphqEyAtMQKmZxjwcD8v4bJDU,1.78,0.178,1.602,900.0000000000002,90.0,high
HumidiFi,2npqrs8E9iWPGjRhWp7BsD9nG62xnBm9Av4rWgqF3ZPK,4SsMncJdtKiUcDtukkX15mqei7WiuQ9yvRtQrQW4reWC,1.74,0.174,1.566,900.0000000000002,90.0,high
HumidiFi,C2bK8HFrL71aLnpyExVoJmqjDPA9tbLMXcBNAkRQnLfQ,nebu15XQKGpxzhhckADBX9PgvGN5qk9RRJCFLKc118w,1.51,0.151,1.359,900.0,90.0,high
HumidiFi,theo9SfM3dKgKFbq4kFVmEXwSQ1pdr61wDqEWXKJpYs,FNKgX9dYUhYQFRTM9bkeKoRpsyEtZGNMxbdQLDzfqB8a,1.34,0.134,1.206,900.0,89.99999999999999,high
HumidiFi,EJdrWPg32qHnmc3cwgGRfTrvWpQkDH2vHNGsane6WFGd,ChorusmmK7i1AxXeiTtQgQZhQNiXYU84ULeaYF1EH15n,1.27,0.127,1.143,900.0,90.0,high
